# Fields: [Realtime_tot|Episode_n|Realtime_episode] - [Sim_time|Sim_iter|Sim_perc] - Message
[00:00:22|1|00:00:22] - [01:59:50|720|100.0%] - checkpoint saved
[00:00:22|1|00:00:22] - [01:59:50|720|100.0%] - episode 1: Jtot=40941.534, TTS=443.337, fails=0(0.0%)
[00:00:36|2|00:00:13] - [00:59:50|360|50.0%] - update 1 (N=175, lr=1.000e+00, Hmod=4.270e+03): rho_crit=28.14; v_free=106.08; v_free_tracking=159.12; weight_V=[0.8 1.2 0.8 0.8 0.8 0.8 0.8 0.8]; weight_L=[0.8 0.8 0.8 0.8 0.8 1.2]; weight_T=[0.8 0.8 0.8 0.8 0.8 1.2]; weight_rate_var=0.0357443; weight_slack_w_max=[12 12 12 12 12 8 8 8 8 8 8 8 8 8 8 12 12 12 12 12 12 12 12 12 12]; 
[00:00:45|2|00:00:22] - [01:59:50|720|100.0%] - update 2 (N=235, lr=1.000e+00, Hmod=3.398e+03): rho_crit=33.768; v_free=84.864; v_free_tracking=190.944; weight_V=[0.96 1.32191 0.64 0.64 0.64 0.64 0.64 0.64]; weight_L=[0.64 0.64 0.64 0.96 0.64 1.44]; weight_T=[0.64 0.64 0.96 0.64 0.64 1.44]; weight_rate_var=0.083705; weight_slack_w_max=[14.4 14.4 14.4 14.4 14.4 6.4 6.4 6.4 6.4 6.4 6.4 6.4 6.4 6.4 6.4 14.4 14.4 14.4 14.4 14.4 14.4 14.4 14.4 14.4 14.4]; 
[00:00:45|2|00:00:22] - [01:59:50|720|100.0%] - episode 2: Jtot=26291.821, TTS=441.451, fails=0(0.0%)
[00:00:56|3|00:00:11] - [00:59:50|360|50.0%] - update 3 (N=295, lr=1.000e+00, Hmod=6.815e+09): rho_crit=33.782; v_free=84.8863; v_free_tracking=190.944; weight_V=[0.959998 1.32194 0.640001 0.64 0.639996 0.640033 0.640036 0.640041]; weight_L=[0.639997 0.640012 0.639942 0.960279 0.639876 1.43965]; weight_T=[0.64 0.639999 0.959996 0.640007 0.63998 1.43998]; weight_rate_var=0.114739; weight_slack_w_max=[14.3999 14.3999 14.4 14.4001 14.4002 6.40035 6.40046 6.40057 6.40068 6.40079 6.40091 6.40103 6.40115 6.40127 6.4014 14.4015 14.4017 14.4018 14.4019 14.4021 14.4022 14.4024 14.4025 14.4027 14.4029]; 
[00:01:06|3|00:00:20] - [01:59:50|720|100.0%] - update 4 (N=355, lr=1.000e+00, Hmod=7.245e+09): rho_crit=33.7854; v_free=84.8916; v_free_tracking=190.944; weight_V=[0.959996 1.32197 0.640001 0.64 0.639993 0.640063 0.64007 0.640079]; weight_L=[0.639994 0.640024 0.639888 0.960534 0.639751 1.43932]; weight_T=[0.64 0.639999 0.959993 0.640014 0.639962 1.43997]; weight_rate_var=0.145639; weight_slack_w_max=[14.3997 14.3999 14.4001 14.4003 14.4005 6.40068 6.4009 6.4011 6.40131 6.40153 6.40176 6.40199 6.40224 6.40247 6.40271 14.403 14.4032 14.4035 14.4038 14.4041 14.4043 14.4046 14.4049 14.4053 14.4056]; 
[00:01:07|3|00:00:20] - [01:59:50|720|100.0%] - checkpoint saved
[00:01:07|3|00:00:20] - [01:59:50|720|100.0%] - episode 3: Jtot=96856.507, TTS=496.328, fails=0(0.0%)
[00:01:18|4|00:00:11] - [00:59:50|360|50.0%] - update 5 (N=415, lr=1.000e+00, Hmod=2.001e+04): rho_crit=33.7854; v_free=84.8915; v_free_tracking=229.133; weight_V=[0.767997 1.05758 0.512001 0.512 0.511994 0.512051 0.512056 0.512063]; weight_L=[0.511995 0.512019 0.51191 1.15264 0.511801 1.72718]; weight_T=[0.512 0.511999 0.767995 0.512011 0.511969 1.72796]; weight_rate_var=0.103991; weight_slack_w_max=[11.5198 11.5199 11.5201 11.5202 11.5204 5.12054 5.12072 5.12088 5.12105 5.12122 5.23901 7.23131 7.68268 7.68296 7.68325 17.2836 17.2839 17.2842 17.2845 17.2849 17.2852 17.2856 17.2859 17.2863 17.2867]; 
